	alias.number	alias	target.number	target	name	description	namespace
49	16727	ENTREZGENE_ACC:100033802	16727.1	ENSG00000275524	SNORD115-26	small nucleolar RNA, C/D box 115-26 [Source:HGNC Symbol;Acc:HGNC:33045]	ENTREZGENE
50	16729	ENTREZGENE_ACC:100033804	16729.1	ENSG00000200987	SNORD115-30	small nucleolar RNA, C/D box 115-30 [Source:HGNC Symbol;Acc:HGNC:33049]	ENTREZGENE
51	16730	ENTREZGENE_ACC:100033805	16730.1	ENSG00000202188	SNORD115-31	small nucleolar RNA, C/D box 115-31 [Source:HGNC Symbol;Acc:HGNC:33050]	ENTREZGENE
52	16731	ENTREZGENE_ACC:100033806	16731.1	ENSG00000200949	SNORD115-32	small nucleolar RNA, C/D box 115-32 [Source:HGNC Symbol;Acc:HGNC:33051]	ENTREZGENE
53	16732	ENTREZGENE_ACC:100033807	16732.1	ENSG00000200593	SNORD115-33	small nucleolar RNA, C/D box 115-33 [Source:HGNC Symbol;Acc:HGNC:33052]	ENTREZGENE
54	16733	ENTREZGENE_ACC:100033809	16733.1	ENSG00000201992	SNORD115-35	small nucleolar RNA, C/D box 115-35 [Source:HGNC Symbol;Acc:HGNC:33054]	ENTREZGENE
55	16734	ENTREZGENE_ACC:100033811	16734.1	ENSG00000200638	SNORD115-37	small nucleolar RNA, C/D box 115-37 [Source:HGNC Symbol;Acc:HGNC:33056]	ENTREZGENE
56	16735	ENTREZGENE_ACC:100033812	16735.1	ENSG00000201907	SNORD115-38	small nucleolar RNA, C/D box 115-38 [Source:HGNC Symbol;Acc:HGNC:33057]	ENTREZGENE
57	16736	ENTREZGENE_ACC:100033813	16736.1	ENSG00000200564	SNORD115-39	small nucleolar RNA, C/D box 115-39 [Source:HGNC Symbol;Acc:HGNC:33058]	ENTREZGENE
58	16738	ENTREZGENE_ACC:100033814	16738.1	ENSG00000272460	SNORD115-40	small nucleolar RNA, C/D box 115-40 [Source:HGNC Symbol;Acc:HGNC:33059]	ENTREZGENE
59	16739	ENTREZGENE_ACC:100033815	16739.1	ENSG00000200478	SNORD115-41	small nucleolar RNA, C/D box 115-41 [Source:HGNC Symbol;Acc:HGNC:33060]	ENTREZGENE
60	16740	ENTREZGENE_ACC:100033818	16740.1	ENSG00000202261	SNORD115-44	small nucleolar RNA, C/D box 115-44 [Source:HGNC Symbol;Acc:HGNC:33063]	ENTREZGENE
61	16765	ENTREZGENE_ACC:100033820	16765.1	N/A	N/A	N/A	N/A
62	16766	ENTREZGENE_ACC:100033821	16766.1	ENSG00000207245	SNORD116-29	small nucleolar RNA, C/D box 116-29 [Source:HGNC Symbol;Acc:HGNC:33348]	ENTREZGENE
63	16741	ENTREZGENE_ACC:100033822	16741.1	ENSG00000201634	SNORD115-48	small nucleolar RNA, C/D box 115-48 [Source:HGNC Symbol;Acc:HGNC:33343]	ENTREZGENE
64	6576	ENTREZGENE_ACC:100036519	6576.1	N/A	N/A	N/A	N/A
65	7633	ENTREZGENE_ACC:100036563	7633.1	N/A	N/A	N/A	N/A
66	7634	ENTREZGENE_ACC:100036564	7634.1	ENSG00000201300	SNORD115-27	small nucleolar RNA, C/D box 115-27 [Source:HGNC Symbol;Acc:HGNC:33046]	ENTREZGENE
67	7635	ENTREZGENE_ACC:100036565	7635.1	ENSG00000200801	SNORD115-28	small nucleolar RNA, C/D box 115-28 [Source:HGNC Symbol;Acc:HGNC:33047]	ENTREZGENE
68	7636	ENTREZGENE_ACC:100036566	7636.1	N/A	N/A	N/A	N/A
69	7637	ENTREZGENE_ACC:100036567	7637.1	N/A	N/A	N/A	N/A
70	4723	ENTREZGENE_ACC:100037417	4723.1	ENSG00000099974	DDTL	D-dopachrome tautomerase-like [Source:HGNC Symbol;Acc:HGNC:33446]	ENTREZGENE
71	18051	ENTREZGENE_ACC:100038246	18051.1	ENSG00000236311	TLX1NB	TLX1 neighbor [Source:HGNC Symbol;Acc:HGNC:37183]	ENTREZGENE
72	11482	ENTREZGENE_ACC:10004	11482.1	ENSG00000168060	NAALADL1	N-acetylated alpha-linked acidic dipeptidase-like 1 [Source:HGNC Symbol;Acc:HGNC:23536]	ENTREZGENE
73	3475	ENTREZGENE_ACC:100048912	3475.1	ENSG00000240498	CDKN2B-AS1	CDKN2B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:34341]	ENTREZGENE
74	15990	ENTREZGENE_ACC:100049587	15990.1	ENSG00000254415	SIGLEC14	sialic acid binding Ig-like lectin 14 [Source:HGNC Symbol;Acc:HGNC:32926]	ENTREZGENE
75	164	ENTREZGENE_ACC:10005	164.1	ENSG00000101473	ACOT8	acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:HGNC:15919]	ENTREZGENE
76	96	ENTREZGENE_ACC:10006	96.1	ENSG00000136754	ABI1	abl-interactor 1 [Source:HGNC Symbol;Acc:HGNC:11320]	ENTREZGENE
77	7152	ENTREZGENE_ACC:10007	7152.1	ENSG00000113552	GNPDA1	glucosamine-6-phosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:4417]	ENTREZGENE
78	10917	ENTREZGENE_ACC:100073347	10917.1	ENSG00000268654	MIMT1	MER1 repeat containing imprinted transcript 1 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:33464]	ENTREZGENE
79	8748	ENTREZGENE_ACC:10008	8748.1	ENSG00000175538	KCNE3	potassium channel, voltage gated subfamily E regulatory beta subunit 3 [Source:HGNC Symbol;Acc:HGNC:6243]	ENTREZGENE
80	19742	ENTREZGENE_ACC:10009	19742.1	ENSG00000177485	ZBTB33	zinc finger and BTB domain containing 33 [Source:HGNC Symbol;Acc:HGNC:16682]	ENTREZGENE
81	16570	ENTREZGENE_ACC:100093630	16570.1	ENSG00000269893	SNHG8	small nucleolar RNA host gene 8 [Source:HGNC Symbol;Acc:HGNC:33098]	ENTREZGENE
82	3422	ENTREZGENE_ACC:1001	3422.1	ENSG00000062038	CDH3	cadherin 3, type 1, P-cadherin (placental) [Source:HGNC Symbol;Acc:HGNC:1762]	ENTREZGENE
83	17623	ENTREZGENE_ACC:10010	17623.1	ENSG00000136560	TANK	TRAF family member-associated NFKB activator [Source:HGNC Symbol;Acc:HGNC:11562]	ENTREZGENE
84	18884	ENTREZGENE_ACC:100101116	18884.1	ENSG00000129845	TTTY1	testis-specific transcript, Y-linked 1 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:14022]	ENTREZGENE
85	9630	ENTREZGENE_ACC:100101266	9630.1	N/A	N/A	N/A	N/A
86	13747	ENTREZGENE_ACC:100101267	13747.1	ENSG00000272391	POM121C	POM121 transmembrane nucleoporin C [Source:HGNC Symbol;Acc:HGNC:34005]	ENTREZGENE
87	20104	ENTREZGENE_ACC:100101467	20104.1	ENSG00000186814	ZSCAN30	zinc finger and SCAN domain containing 30 [Source:HGNC Symbol;Acc:HGNC:33517]	ENTREZGENE
88	14211	ENTREZGENE_ACC:100101490	14211.1	N/A	N/A	N/A	N/A
89	6786	ENTREZGENE_ACC:100101629	6786.1	ENSG00000189064	GAGE2A	G antigen 2A [Source:HGNC Symbol;Acc:HGNC:4099]	ENTREZGENE
90	9631	ENTREZGENE_ACC:100101938	9631.1	N/A	N/A	N/A	N/A
91	17193	ENTREZGENE_ACC:10011	17193.1	ENSG00000213523	SRA1	steroid receptor RNA activator 1 [Source:HGNC Symbol;Acc:HGNC:11281]	ENTREZGENE
92	16773	ENTREZGENE_ACC:100113378	16773.1	N/A	N/A	N/A	N/A
93	16776	ENTREZGENE_ACC:100113379	16776.1	ENSG00000238886	SNORD121A	small nucleolar RNA, C/D box 121A [Source:HGNC Symbol;Acc:HGNC:33560]	ENTREZGENE
94	16780	ENTREZGENE_ACC:100113380	16780.1	ENSG00000239127	SNORD125	small nucleolar RNA, C/D box 125 [Source:HGNC Symbol;Acc:HGNC:33564]	ENTREZGENE
95	16793	ENTREZGENE_ACC:100113381	16793.1	N/A	N/A	N/A	N/A
96	16672	ENTREZGENE_ACC:100113382	16672.1	N/A	N/A	N/A	N/A
97	16778	ENTREZGENE_ACC:100113384	16778.1	N/A	N/A	N/A	N/A
98	16777	ENTREZGENE_ACC:100113385	16777.1	N/A	N/A	N/A	N/A
99	19095	ENTREZGENE_ACC:100113386	19095.1	N/A	N/A	N/A	N/A
100	16782	ENTREZGENE_ACC:100113389	16782.1	N/A	N/A	N/A	N/A
101	16779	ENTREZGENE_ACC:100113390	16779.1	N/A	N/A	N/A	N/A
102	16781	ENTREZGENE_ACC:100113391	16781.1	N/A	N/A	N/A	N/A
103	16774	ENTREZGENE_ACC:100113392	16774.1	N/A	N/A	N/A	N/A
104	16783	ENTREZGENE_ACC:100113393	16783.1	N/A	N/A	N/A	N/A
105	16677	ENTREZGENE_ACC:100113402	16677.1	N/A	N/A	N/A	N/A
106	18183	ENTREZGENE_ACC:100113407	18183.1	ENSG00000205269	TMEM170B	transmembrane protein 170B [Source:HGNC Symbol;Acc:HGNC:34244]	ENTREZGENE
107	5903	ENTREZGENE_ACC:100124412	5903.1	ENSG00000248893	FAM138E	family with sequence similarity 138, member E [Source:HGNC Symbol;Acc:HGNC:32335]	ENTREZGENE
108	16849	ENTREZGENE_ACC:100124516	16849.1	N/A	N/A	N/A	N/A
109	15536	ENTREZGENE_ACC:100124533	15536.1	N/A	N/A	N/A	N/A
110	16666	ENTREZGENE_ACC:100124534	16666.1	ENSG00000239183	SNORA84	small nucleolar RNA, H/ACA box 84 [Source:HGNC Symbol;Acc:HGNC:33615]	ENTREZGENE
111	16609	ENTREZGENE_ACC:100124535	16609.1	ENSG00000207016	SNORA36C	small nucleolar RNA, H/ACA box 36C [Source:HGNC Symbol;Acc:HGNC:33616]	ENTREZGENE
112	16611	ENTREZGENE_ACC:100124536	16611.1	ENSG00000200394	SNORA38B	small nucleolar RNA, H/ACA box 38B [Source:HGNC Symbol;Acc:HGNC:33617]	ENTREZGENE
113	16648	ENTREZGENE_ACC:100124537	16648.1	ENSG00000206937	SNORA70B	small nucleolar RNA, H/ACA box 70B [Source:HGNC Symbol;Acc:HGNC:33618]	ENTREZGENE
114	16649	ENTREZGENE_ACC:100124538	16649.1	ENSG00000207268	SNORA70C	small nucleolar RNA, H/ACA box 70C [Source:HGNC Symbol;Acc:HGNC:33619]	ENTREZGENE
115	16575	ENTREZGENE_ACC:100124539	16575.1	ENSG00000221102	SNORA11B	small nucleolar RNA, H/ACA box 11B [Source:HGNC Symbol;Acc:HGNC:33620]	ENTREZGENE
116	16576	ENTREZGENE_ACC:100124540	16576.1	ENSG00000221459	SNORA11C	small nucleolar RNA, H/ACA box 11C [Source:HGNC Symbol;Acc:HGNC:33621]	ENTREZGENE
117	16577	ENTREZGENE_ACC:100124541	16577.1	ENSG00000221475	SNORA11D	small nucleolar RNA, H/ACA box 11D [Source:HGNC Symbol;Acc:HGNC:33622]	ENTREZGENE
118	16578	ENTREZGENE_ACC:100124542	16578.1	N/A	N/A	N/A	N/A
119	9632	ENTREZGENE_ACC:100124692	9632.1	N/A	N/A	N/A	N/A
120	7973	ENTREZGENE_ACC:100124700	7973.1	ENSG00000228630	HOTAIR	HOX transcript antisense RNA [Source:HGNC Symbol;Acc:HGNC:33510]	ENTREZGENE
121	19888	ENTREZGENE_ACC:100125288	19888.1	ENSG00000220201	ZGLP1	zinc finger, GATA-like protein 1 [Source:HGNC Symbol;Acc:HGNC:37245]	ENTREZGENE
122	9633	ENTREZGENE_ACC:100125556	9633.1	ENSG00000171084	FAM86JP	family with sequence similarity 86, member J, pseudogene [Source:HGNC Symbol;Acc:HGNC:44097]	ENTREZGENE
123	1082	ENTREZGENE_ACC:100126270	1082.1	ENSG00000268066	FMR1-AS1	FMR1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39081]	ENTREZGENE
124	16549	ENTREZGENE_ACC:100126780	16549.1	N/A	N/A	N/A	N/A
125	16548	ENTREZGENE_ACC:100126781	16548.1	N/A	N/A	N/A	N/A
126	9634	ENTREZGENE_ACC:100126784	9634.1	N/A	N/A	N/A	N/A
127	5403	ENTREZGENE_ACC:100126791	5403.1	ENSG00000235947	EGOT	eosinophil granule ontogeny transcript (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:37129]	ENTREZGENE
128	6978	ENTREZGENE_ACC:100126793	6978.1	ENSG00000240288	GHRLOS	ghrelin opposite strand/antisense RNA [Source:HGNC Symbol;Acc:HGNC:33885]	ENTREZGENE
129	16539	ENTREZGENE_ACC:100126799	16539.1	N/A	N/A	N/A	N/A
130	9635	ENTREZGENE_ACC:100127888	9635.1	ENSG00000232803	SLCO4A1-AS1	SLCO4A1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40537]	ENTREZGENE
131	1667	ENTREZGENE_ACC:100127889	1667.1	ENSG00000173088	C10ORF131	chromosome 10 open reading frame 131 [Source:HGNC Symbol;Acc:HGNC:31667]	ENTREZGENE
132	9636	ENTREZGENE_ACC:100128023	9636.1	N/A	N/A	N/A	N/A
133	9637	ENTREZGENE_ACC:100128076	9637.1	N/A	N/A	N/A	N/A
134	7751	ENTREZGENE_ACC:100128124	7751.1	N/A	N/A	N/A	N/A
135	9638	ENTREZGENE_ACC:100128164	9638.1	ENSG00000239219	RP11-379K17.4	N/A	ENTREZGENE
136	9639	ENTREZGENE_ACC:100128191	9639.1	ENSG00000257167	TMPO-AS1	TMPO antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44158]	ENTREZGENE
137	9640	ENTREZGENE_ACC:100128239	9640.1	ENSG00000204241	RP11-713P17.3	N/A	ENTREZGENE
138	5086	ENTREZGENE_ACC:100128285	5086.1	N/A	N/A	N/A	N/A
139	9641	ENTREZGENE_ACC:100128288	9641.1	N/A	N/A	N/A	N/A
140	9642	ENTREZGENE_ACC:100128292	9642.1	N/A	N/A	N/A	N/A
141	1464	ENTREZGENE_ACC:100128327	1464.1	ENSG00000173626	TRAPPC3L	trafficking protein particle complex 3-like [Source:HGNC Symbol;Acc:HGNC:21090]	ENTREZGENE
142	2472	ENTREZGENE_ACC:100128378	2472.1	N/A	N/A	N/A	N/A
143	2726	ENTREZGENE_ACC:100128385	2726.1	ENSG00000225684	FAM225B	family with sequence similarity 225, member B (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:21865]	ENTREZGENE
144	9643	ENTREZGENE_ACC:100128542	9643.1	N/A	N/A	N/A	N/A
145	4354	ENTREZGENE_ACC:100128553	4354.1	ENSG00000225932	CTAGE4	CTAGE family, member 4 [Source:HGNC Symbol;Acc:HGNC:24772]	ENTREZGENE
146	9644	ENTREZGENE_ACC:100128554	9644.1	ENSG00000214043	RP5-944M2.3	N/A	ENTREZGENE
147	2097	ENTREZGENE_ACC:100128569	2097.1	ENSG00000183397	C19ORF71	chromosome 19 open reading frame 71 [Source:HGNC Symbol;Acc:HGNC:34496]	ENTREZGENE
148	9645	ENTREZGENE_ACC:100128573	9645.1	N/A	N/A	N/A	N/A
149	9646	ENTREZGENE_ACC:100128640	9646.1	ENSG00000229589	ACVR2B-AS1	ACVR2B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44161]	ENTREZGENE
150	9647	ENTREZGENE_ACC:100128675	9647.1	ENSG00000227392	HPN-AS1	HPN antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:47041]	ENTREZGENE
151	12745	ENTREZGENE_ACC:100128731	12745.1	ENSG00000228474	OST4	oligosaccharyltransferase complex subunit 4 (non-catalytic) [Source:HGNC Symbol;Acc:HGNC:32483]	ENTREZGENE
152	2737	ENTREZGENE_ACC:100128782	2737.1	ENSG00000175611	LINC00476	long intergenic non-protein coding RNA 476 [Source:HGNC Symbol;Acc:HGNC:27858]	ENTREZGENE
153	9648	ENTREZGENE_ACC:100128788	9648.1	ENSG00000205913	SRRM2-AS1	SRRM2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44162]	ENTREZGENE
154	9649	ENTREZGENE_ACC:100128811	9649.1	ENSG00000233642	GPR158-AS1	GPR158 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44163]	ENTREZGENE
155	9650	ENTREZGENE_ACC:100128822	9650.1	N/A	N/A	N/A	N/A
156	9651	ENTREZGENE_ACC:100128842	9651.1	N/A	N/A	N/A	N/A
157	19750	ENTREZGENE_ACC:100128927	19750.1	ENSG00000179627	ZBTB42	zinc finger and BTB domain containing 42 [Source:HGNC Symbol;Acc:HGNC:32550]	ENTREZGENE
158	9652	ENTREZGENE_ACC:100128977	9652.1	ENSG00000264589	MAPT-AS1	MAPT antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43738]	ENTREZGENE
159	9653	ENTREZGENE_ACC:100129034	9653.1	N/A	N/A	N/A	N/A
160	9654	ENTREZGENE_ACC:100129055	9654.1	N/A	N/A	N/A	N/A
161	9655	ENTREZGENE_ACC:100129066	9655.1	ENSG00000237372	UNQ6494	uncharacterized LOC100129066 [Source:EntrezGene;Acc:100129066]	ENTREZGENE
162	1874	ENTREZGENE_ACC:100129075	1874.1	ENSG00000186615	KTN1-AS1	KTN1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:19842]	ENTREZGENE
163	8873	ENTREZGENE_ACC:100129128	8873.1	ENSG00000256980	KHDC1L	KH homology domain containing 1-like [Source:HGNC Symbol;Acc:HGNC:37274]	ENTREZGENE
164	4482	ENTREZGENE_ACC:100129239	4482.1	N/A	N/A	N/A	N/A
165	2223	ENTREZGENE_ACC:100129271	2223.1	ENSG00000198854	C1ORF68	chromosome 1 open reading frame 68 [Source:HGNC Symbol;Acc:HGNC:29468]	ENTREZGENE
166	12069	ENTREZGENE_ACC:100129354	12069.1	N/A	N/A	N/A	N/A
167	9656	ENTREZGENE_ACC:100129387	9656.1	N/A	N/A	N/A	N/A
168	5836	ENTREZGENE_ACC:100129396	5836.1	N/A	N/A	N/A	N/A
169	11236	ENTREZGENE_ACC:100129405	11236.1	N/A	N/A	N/A	N/A
170	15175	ENTREZGENE_ACC:100129424	15175.1	N/A	N/A	N/A	N/A
171	20092	ENTREZGENE_ACC:100129482	20092.1	ENSG00000234420	ZNF37BP	zinc finger protein 37B, pseudogene [Source:HGNC Symbol;Acc:HGNC:13103]	ENTREZGENE
172	9657	ENTREZGENE_ACC:100129534	9657.1	ENSG00000269896	RP4-740C4.5	N/A	ENTREZGENE
173	9658	ENTREZGENE_ACC:100129550	9658.1	ENSG00000273033	RP11-67L2.2	N/A	ENTREZGENE
174	6060	ENTREZGENE_ACC:100129583	6060.1	ENSG00000189157	FAM47E	family with sequence similarity 47, member E [Source:HGNC Symbol;Acc:HGNC:34343]	ENTREZGENE
